Sl.NO,Category of Vehicles,Belagavi,Kalaburagi,Shivamogga,Mysuru,Bengaluru Urban,Bengaluru Rural,Total
1,Twowheeler,4733261,2462630,3248271,2726875,8283952,2253146,23708135
2,Cars,550511,232296,728946,480048,2537799,293435,4823035
3,Omnibus,3736,3498,1200,1621,5895,2237,18187
4,Agricultural_tractor,286140,179880,124138,96859,39241,109290,835548
5,Trailer,155092,62636,56632,36957,15217,66523,393057
6,Construction_equipment,5411,3341,2750,1398,5602,4062,22564
7,Private_service_vehicle,70,65,282,891,851,116,2275
8,Others,20222,14369,17647,11990,50363,9606,124197
,Non - Transport (A),5754443,2958715,4179866,3356639,10938919.49,2738415,29926997
II,TRANSPORT VEHICLE (B),,,,,,,
1,Articulated_vehicle,705,1335,2165,625,16597,885,22312
2,Trucks_and_lorries,112426,83144,73508,44501,199383,48128,561090
,Total,113131,84479,75673,45126,215979,49013,583401
II(a),LIGHT GOODS VEHICLES,,,,,,,
3,Four_wheeler,145787,79133,121098,91842,215933,81687,735480
4,Three_wheeler_goods,39411,24675,32580,35474,79794,25057,236991
,Total,185198,103808,153678,127316,295727,106744,972471
II(b),Bus,46224,26397,33990,27512,130112,25210,289445
,Total,46224,26397,33990,27512,130112,25210,289445
II(c),Taxies,,,,,,,
7,Motorcab,39306,24056,43302,33635,250828,30584,421711
8,Maxicab,19507,9716,12153,12287,61754,9232,124649
9,Other Cab,59,34,27,32,130,23,305
,Total,58872,11269,18494,15318,104237,13280,182222
II(d),LMV Passanger,,,,,,,
10,Three_wheeler_passenger,126270,81409,170606,89360,356665,63672,887982
11,Others,24627,19587,19807,12960,100172,15350,192503
,Total,150897,100996,190413,102320,456837,79022,1080485
,Transport (B),554322,326949,472248,317592,1202892,273269,3108023
,Total(A+B),6333300,3322154,4710710,3721187,12350286,3034330,33471967
,,,,,,,,
,,,,,,,,
